id,eventcode,col3,col4,col5,time
1,203,0,0,0.0000,21258
2,199,0,0,0.0000,21272
3,203,0,0,0.0000,21258
4,199,0,0,0.0000,21272
5,200,0,0,0.0000,26288
6,200,0,0,0.0000,27305
7,200,0,0,0.0000,28322
8,7,0,0,0.0000,31064
9,201,0,0,0.0000,31819
10,5,0,0,0.0000,33439
11,202,0,0,0.0000,34076
12,3,0,0,0.0000,35997
13,202,0,0,0.0000,36508
14,3,0,0,0.0000,38389
15,201,0,0,0.0000,38972
16,7,0,0,0.0000,40814
17,201,0,0,0.0000,41421
18,7,0,0,0.0000,43222
19,201,0,0,0.0000,43725
20,5,0,0,0.0000,45547
21,201,0,0,0.0000,46382
22,5,0,0,0.0000,48022
23,202,0,0,0.0000,48574
24,3,0,0,0.0000,50456
25,201,0,0,0.0000,51022
26,7,0,0,0.0000,53023
27,201,0,0,0.0000,53631
28,3,0,0,0.0000,55573
29,202,0,0,0.0000,56143
30,5,0,0,0.0000,57981
31,201,0,0,0.0000,58495
32,7,0,0,0.0000,60556
33,201,0,0,0.0000,61200
34,5,0,0,0.0000,62823
35,201,0,0,0.0000,63376
36,7,0,0,0.0000,65165
37,201,0,0,0.0000,65792
38,3,0,0,0.0000,67431
39,201,0,0,0.0000,68033
40,5,0,0,0.0000,69798
41,201,0,0,0.0000,70353
42,3,0,0,0.0000,72240
43,202,0,0,0.0000,72689
44,7,0,0,0.0000,74840
45,201,0,0,0.0000,75330
46,3,0,0,0.0000,77282
47,201,0,0,0.0000,77746
48,5,0,0,0.0000,79682
49,202,0,0,0.0000,80259
50,3,0,0,0.0000,82015
51,201,0,0,0.0000,82531
52,5,0,0,0.0000,84415
53,201,0,0,0.0000,84931
54,7,0,0,0.0000,86807
55,201,0,0,0.0000,87412
56,3,0,0,0.0000,89099
57,201,0,0,0.0000,89668
58,7,0,0,0.0000,91482
59,201,0,0,0.0000,91988
60,5,0,0,0.0000,94065
61,201,0,0,0.0000,94645
62,3,0,0,0.0000,96632
63,202,0,0,0.0000,97125
64,3,0,0,0.0000,99157
65,201,0,0,0.0000,99717
66,5,0,0,0.0000,101657
67,201,0,0,0.0000,102278
68,5,0,0,0.0000,104107
69,201,0,0,0.0000,104662
70,7,0,0,0.0000,106616
71,201,0,0,0.0000,107351
72,7,0,0,0.0000,108832
73,201,0,0,0.0000,109495
74,3,0,0,0.0000,111316
75,202,0,0,0.0000,112103
76,7,0,0,0.0000,113716
77,201,0,0,0.0000,114264
78,5,0,0,0.0000,115941
79,201,0,0,0.0000,116568
80,5,0,0,0.0000,118233
81,201,0,0,0.0000,118744
82,3,0,0,0.0000,120499
83,201,0,0,0.0000,121065
84,7,0,0,0.0000,122766
85,201,0,0,0.0000,123369
86,5,0,0,0.0000,125050
87,202,0,0,0.0000,125673
88,5,0,0,0.0000,127266
89,201,0,0,0.0000,127818
90,7,0,0,0.0000,129708
91,201,0,0,0.0000,130234
92,3,0,0,0.0000,132016
93,202,0,0,0.0000,132426
94,7,0,0,0.0000,134233
95,201,0,0,0.0000,134843
96,3,0,0,0.0000,136750
97,202,0,0,0.0000,137243
98,203,0,0,0.0000,151645
99,203,0,0,0.0000,204677
100,7,0,0,0.0000,209377
101,201,0,0,0.0000,209958
102,7,0,0,0.0000,211644
103,201,0,0,0.0000,212150
104,5,0,0,0.0000,214202
105,201,0,0,0.0000,214870
106,5,0,0,0.0000,216627
107,202,0,0,0.0000,217223
108,5,0,0,0.0000,219060
109,201,0,0,0.0000,219607
110,5,0,0,0.0000,221360
111,202,0,0,0.0000,221960
112,5,0,0,0.0000,223786
113,202,0,0,0.0000,224472
114,3,0,0,0.0000,226377
115,202,0,0,0.0000,226936
116,3,0,0,0.0000,228827
117,202,0,0,0.0000,229337
118,5,0,0,0.0000,231327
119,201,0,0,0.0000,231913
120,3,0,0,0.0000,233919
121,201,0,0,0.0000,234601
122,7,0,0,0.0000,236161
123,201,0,0,0.0000,236810
124,7,0,0,0.0000,238511
125,201,0,0,0.0000,239098
126,5,0,0,0.0000,240794
127,201,0,0,0.0000,241354
128,7,0,0,0.0000,243353
129,201,0,0,0.0000,243963
130,3,0,0,0.0000,245561
131,202,0,0,0.0000,246059
132,7,0,0,0.0000,247861
133,201,0,0,0.0000,248603
134,7,0,0,0.0000,250411
135,201,0,0,0.0000,250988
136,3,0,0,0.0000,252895
137,202,0,0,0.0000,253420
138,5,0,0,0.0000,255345
139,201,0,0,0.0000,256093
140,7,0,0,0.0000,257611
141,201,0,0,0.0000,258157
142,3,0,0,0.0000,259912
143,201,0,0,0.0000,260509
144,7,0,0,0.0000,262237
145,201,0,0,0.0000,262894
146,3,0,0,0.0000,264828
147,202,0,0,0.0000,265390
148,5,0,0,0.0000,267412
149,201,0,0,0.0000,267966
150,3,0,0,0.0000,269862
151,202,0,0,0.0000,270543
152,7,0,0,0.0000,272204
153,201,0,0,0.0000,272783
154,3,0,0,0.0000,274770
155,201,0,0,0.0000,275503
156,7,0,0,0.0000,277329
157,201,0,0,0.0000,277856
158,3,0,0,0.0000,279804
159,202,0,0,0.0000,280560
160,7,0,0,0.0000,282037
161,201,0,0,0.0000,282688
162,5,0,0,0.0000,284329
163,201,0,0,0.0000,284929
164,5,0,0,0.0000,286862
165,201,0,0,0.0000,287441
166,5,0,0,0.0000,289254
167,201,0,0,0.0000,290018
168,3,0,0,0.0000,291629
169,201,0,0,0.0000,292290
170,5,0,0,0.0000,294062
171,201,0,0,0.0000,294802
172,5,0,0,0.0000,296579
173,202,0,0,0.0000,297219
174,5,0,0,0.0000,298938
175,201,0,0,0.0000,299539
176,3,0,0,0.0000,301429
177,201,0,0,0.0000,302115
178,7,0,0,0.0000,303788
179,201,0,0,0.0000,304324
180,3,0,0,0.0000,306054
181,201,0,0,0.0000,306740
182,7,0,0,0.0000,308630
183,201,0,0,0.0000,309444
184,7,0,0,0.0000,310930
185,202,0,0,0.0000,311877
186,3,0,0,0.0000,313180
187,201,0,0,0.0000,313989
188,3,0,0,0.0000,315488
189,202,0,0,0.0000,316325
190,203,0,0,0.0000,409171
191,3,0,0,0.0000,414141
192,201,0,0,0.0000,414900
193,7,0,0,0.0000,731558
194,201,0,0,0.0000,732243
195,7,0,0,0.0000,733866
196,201,0,0,0.0000,734355
197,5,0,0,0.0000,736358
198,202,0,0,0.0000,737092
199,7,0,0,0.0000,738858
200,201,0,0,0.0000,739476
201,3,0,0,0.0000,741433
202,202,0,0,0.0000,742020
203,7,0,0,0.0000,743733
204,201,0,0,0.0000,744325
205,5,0,0,0.0000,746167
206,202,0,0,0.0000,746997
207,7,0,0,0.0000,748717
208,201,0,0,0.0000,749381
209,3,0,0,0.0000,751167
210,202,0,0,0.0000,751862
211,3,0,0,0.0000,753708
212,201,0,0,0.0000,754262
213,5,0,0,0.0000,756217
214,201,0,0,0.0000,756694
215,5,0,0,0.0000,766067
216,201,0,0,0.0000,766568
217,5,0,0,0.0000,777934
218,201,0,0,0.0000,778490
219,7,0,0,0.0000,780384
220,201,0,0,0.0000,780666
221,3,0,0,0.0000,782843
222,202,0,0,0.0000,783418
223,5,0,0,0.0000,787509
224,201,0,0,0.0000,787979
225,5,0,0,0.0000,790059
226,201,0,0,0.0000,790635
227,3,0,0,0.0000,792593
228,202,0,0,0.0000,793180
229,203,0,0,0.0000,1025614
230,3,0,0,0.0000,1030583
231,202,0,0,0.0000,1031295
232,3,0,0,0.0000,1032908
233,202,0,0,0.0000,1033551
234,7,0,0,0.0000,1035416
235,201,0,0,0.0000,1036000
236,7,0,0,0.0000,1037633
237,201,0,0,0.0000,1038176
238,3,0,0,0.0000,1040183
239,202,0,0,0.0000,1040752
240,7,0,0,0.0000,1042666
241,201,0,0,0.0000,1043233
242,7,0,0,0.0000,1045116
243,201,0,0,0.0000,1045841
244,7,0,0,0.0000,1047566
245,201,0,0,0.0000,1048209
246,3,0,0,0.0000,1050133
247,202,0,0,0.0000,1050738
248,5,0,0,0.0000,1052633
249,202,0,0,0.0000,1053186
250,5,0,0,0.0000,1054842
251,201,0,0,0.0000,1055458
252,5,0,0,0.0000,1057092
253,201,0,0,0.0000,1057715
254,7,0,0,0.0000,1059525
255,201,0,0,0.0000,1060163
256,7,0,0,0.0000,1061884
257,202,0,0,0.0000,1062548
258,3,0,0,0.0000,1064359
259,202,0,0,0.0000,1064964
260,5,0,0,0.0000,1066942
261,201,0,0,0.0000,1067652
262,5,0,0,0.0000,1069525
263,201,0,0,0.0000,1070261
264,7,0,0,0.0000,1071842
265,202,0,0,0.0000,1072757
266,7,0,0,0.0000,1074342
267,201,0,0,0.0000,1075061
268,3,0,0,0.0000,1076767
269,202,0,0,0.0000,1077366
270,7,0,0,0.0000,1079142
271,201,0,0,0.0000,1079750
272,5,0,0,0.0000,1081442
273,201,0,0,0.0000,1082150
274,7,0,0,0.0000,1083851
275,201,0,0,0.0000,1084775
276,3,0,0,0.0000,1086068
277,202,0,0,0.0000,1086807
278,5,0,0,0.0000,1088409
279,201,0,0,0.0000,1089143
280,5,0,0,0.0000,1090993
281,201,0,0,0.0000,1091592
282,7,0,0,0.0000,1093484
283,201,0,0,0.0000,1094104
284,5,0,0,0.0000,1095868
285,201,0,0,0.0000,1096585
286,5,0,0,0.0000,1098410
287,201,0,0,0.0000,1099113
288,5,0,0,0.0000,1100968
289,201,0,0,0.0000,1101625
290,3,0,0,0.0000,1103393
291,202,0,0,0.0000,1104074
292,3,0,0,0.0000,1105693
293,201,0,0,0.0000,1106314
294,3,0,0,0.0000,1108160
295,201,0,0,0.0000,1108794
296,7,0,0,0.0000,1110435
297,201,0,0,0.0000,1111067
298,3,0,0,0.0000,1112827
299,201,0,0,0.0000,1113531
300,3,0,0,0.0000,1115277
301,201,0,0,0.0000,1115979
302,7,0,0,0.0000,1117852
303,202,0,0,0.0000,1118716
304,7,0,0,0.0000,1120385
305,201,0,0,0.0000,1121132
306,5,0,0,0.0000,1122735
307,201,0,0,0.0000,1123565
308,5,0,0,0.0000,1125152
309,202,0,0,0.0000,1126205
310,3,0,0,0.0000,1127752
311,201,0,0,0.0000,1128333
312,3,0,0,0.0000,1130244
313,201,0,0,0.0000,1130878
314,3,0,0,0.0000,1132685
315,201,0,0,0.0000,1133358
316,5,0,0,0.0000,1135211
317,201,0,0,0.0000,1135854
318,5,0,0,0.0000,1137477
319,201,0,0,0.0000,1138175
320,203,0,0,0.0000,1199512
321,5,0,0,0.0000,1209138
322,201,0,0,0.0000,1209577
323,5,0,0,0.0000,1211479
324,201,0,0,0.0000,1212170
325,3,0,0,0.0000,1214038
326,202,0,0,0.0000,1214730
327,7,0,0,0.0000,1216479
328,201,0,0,0.0000,1217034
329,3,0,0,0.0000,1218921
330,202,0,0,0.0000,1219499
331,5,0,0,0.0000,1221321
332,201,0,0,0.0000,1221963
333,3,0,0,0.0000,1223896
334,201,0,0,0.0000,1224699
335,7,0,0,0.0000,1226496
336,201,0,0,0.0000,1227100
337,3,0,0,0.0000,1228946
338,202,0,0,0.0000,1229724
339,7,0,0,0.0000,1231272
340,201,0,0,0.0000,1231917
341,3,0,0,0.0000,1233605
342,201,0,0,0.0000,1234285
343,7,0,0,0.0000,1235988
344,201,0,0,0.0000,1236573
345,5,0,0,0.0000,1238288
346,201,0,0,0.0000,1238974
347,3,0,0,0.0000,1240522
348,201,0,0,0.0000,1241342
349,7,0,0,0.0000,1252564
350,201,0,0,0.0000,1253104
351,3,0,0,0.0000,1254772
352,201,0,0,0.0000,1255360
353,7,0,0,0.0000,1256997
354,202,0,0,0.0000,1257792
355,5,0,0,0.0000,1263939
356,202,0,0,0.0000,1264545
357,5,0,0,0.0000,1266289
358,201,0,0,0.0000,1266834
359,5,0,0,0.0000,1268873
360,201,0,0,0.0000,1269474
361,5,0,0,0.0000,1271081
362,201,0,0,0.0000,1271762
363,3,0,0,0.0000,1273614
364,202,0,0,0.0000,1274211
365,5,0,0,0.0000,1275914
366,201,0,0,0.0000,1276451
367,5,0,0,0.0000,1278414
368,201,0,0,0.0000,1278963
369,3,0,0,0.0000,1280806
370,201,0,0,0.0000,1281540
371,3,0,0,0.0000,1290290
372,202,0,0,0.0000,1290933
373,3,0,0,0.0000,1292798
374,201,0,0,0.0000,1293382
375,5,0,0,0.0000,1295373
376,202,0,0,0.0000,1296086
377,5,0,0,0.0000,1297815
378,201,0,0,0.0000,1298502
379,7,0,0,0.0000,1300407
380,201,0,0,0.0000,1301063
381,3,0,0,0.0000,1302632
382,202,0,0,0.0000,1303351
383,7,0,0,0.0000,1304932
384,201,0,0,0.0000,1305655
385,5,0,0,0.0000,1307399
386,202,0,0,0.0000,1308392
387,203,0,0,0.0000,1536234
388,3,0,0,0.0000,1541005
389,201,0,0,0.0000,1541626
390,3,0,0,0.0000,1543388
391,202,0,0,0.0000,1544059
392,5,0,0,0.0000,1545988
393,201,0,0,0.0000,1546635
394,3,0,0,0.0000,1548389
395,201,0,0,0.0000,1548891
396,3,0,0,0.0000,1550839
397,201,0,0,0.0000,1551452
398,5,0,0,0.0000,1553347
399,202,0,0,0.0000,1554124
400,7,0,0,0.0000,1555764
401,201,0,0,0.0000,1556300
402,7,0,0,0.0000,1558322
403,201,0,0,0.0000,1558893
404,7,0,0,0.0000,1560906
405,202,0,0,0.0000,1561693
406,3,0,0,0.0000,1563431
407,201,0,0,0.0000,1563934
408,5,0,0,0.0000,1565856
409,201,0,0,0.0000,1566398
410,3,0,0,0.0000,1568089
411,201,0,0,0.0000,1568782
412,3,0,0,0.0000,1570597
413,202,0,0,0.0000,1571263
414,7,0,0,0.0000,1573098
415,201,0,0,0.0000,1573567
416,3,0,0,0.0000,1575514
417,201,0,0,0.0000,1576159
418,7,0,0,0.0000,1577898
419,201,0,0,0.0000,1578560
420,7,0,0,0.0000,1580306
421,201,0,0,0.0000,1580976
422,3,0,0,0.0000,1582714
423,201,0,0,0.0000,1583600
424,7,0,0,0.0000,1585265
425,201,0,0,0.0000,1585873
426,7,0,0,0.0000,1587473
427,201,0,0,0.0000,1588065
428,7,0,0,0.0000,1589765
429,202,0,0,0.0000,1590273
430,5,0,0,0.0000,1592306
431,202,0,0,0.0000,1593106
432,7,0,0,0.0000,1594815
433,201,0,0,0.0000,1595346
434,5,0,0,0.0000,1597057
435,201,0,0,0.0000,1597602
436,5,0,0,0.0000,1599532
437,201,0,0,0.0000,1600211
438,7,0,0,0.0000,1601957
439,202,0,0,0.0000,1602675
440,5,0,0,0.0000,1604482
441,201,0,0,0.0000,1605076
442,5,0,0,0.0000,1606773
443,201,0,0,0.0000,1607428
444,7,0,0,0.0000,1609307
445,201,0,0,0.0000,1610020
446,5,0,0,0.0000,1611590
447,201,0,0,0.0000,1612261
448,5,0,0,0.0000,1613865
449,201,0,0,0.0000,1614437
450,5,0,0,0.0000,1616415
451,202,0,0,0.0000,1616869
452,3,0,0,0.0000,1618749
453,202,0,0,0.0000,1619142
454,5,0,0,0.0000,1620982
455,201,0,0,0.0000,1621430
456,3,0,0,0.0000,1623391
457,201,0,0,0.0000,1623910
458,3,0,0,0.0000,1625774
459,201,0,0,0.0000,1626327
460,7,0,0,0.0000,1627999
461,201,0,0,0.0000,1628695
462,5,0,0,0.0000,1630474
463,202,0,0,0.0000,1631047
464,7,0,0,0.0000,1632783
465,201,0,0,0.0000,1633480
466,3,0,0,0.0000,1634991
467,202,0,0,0.0000,1635784
468,3,0,0,0.0000,1637299
469,201,0,0,0.0000,1637992
470,5,0,0,0.0000,1803671
471,201,0,0,0.0000,1804337
472,7,0,0,0.0000,1806079
473,201,0,0,0.0000,1806657
474,5,0,0,0.0000,1808429
475,201,0,0,0.0000,1809010
476,3,0,0,0.0000,1810946
477,202,0,0,0.0000,1811538
478,203,0,0,0.0000,1850184
479,3,0,0,0.0000,1864747
480,201,0,0,0.0000,1865418
481,7,0,0,0.0000,1867089
482,201,0,0,0.0000,1867754
483,3,0,0,0.0000,1869297
484,202,0,0,0.0000,1869883
485,7,0,0,0.0000,1871506
486,201,0,0,0.0000,1872059
487,5,0,0,0.0000,1873797
488,202,0,0,0.0000,1874395
489,3,0,0,0.0000,1876231
490,201,0,0,0.0000,1876876
491,5,0,0,0.0000,1878756
492,202,0,0,0.0000,1879388
493,3,0,0,0.0000,1881264
494,202,0,0,0.0000,1881804
495,5,0,0,0.0000,1883514
496,201,0,0,0.0000,1884157
497,3,0,0,0.0000,1885939
498,201,0,0,0.0000,1886717
499,5,0,0,0.0000,1888273
500,201,0,0,0.0000,1888973
501,3,0,0,0.0000,1890773
502,202,0,0,0.0000,1891406
503,5,0,0,0.0000,1893090
504,201,0,0,0.0000,1893630
